transp,gasoline,diesel_fuel,liq_pet_gas,Jet_fuel,res_f_oil,nat_gas,elec,tot,yr,serc_gas,serc_die,serc_lga,serc_jet,serc_res,serc_nga,serc_ele
Light vehicles,14640.3,454.5,55.4,,,,14,15164.2,2019,96.545152398412,2.99719075190251,0.365334142256103,,,,0.0923227074293401
Buses,10.4,186.3,0.2,,,26.7,0.2,223.8,2019,4.64700625558534,83.2439678284182,0.0893655049151028,,,11.9302949061662,0.0893655049151028
Medium/heavy trucks,627.6,5596.4,20.8,,,,,6244.8,2019,10.0499615680246,89.6169613118114,0.333077120163976,,,,
Air,22.6,,,2347.4,,,,2370,2019,0.953586497890296,,,99.0464135021097,,,
Water,171.9,309.5,,,530.5,,,1011.9,2019,16.9878446486807,30.5860262871825,,,52.4261290641368,,
Pipeline,,,,,,973.5,84.6,1058.1,2019,,,,,,92.0045364332294,7.99546356677063
Rail,,502.9,,,,,24.6,527.5,2019,,95.3364928909953,,,,,4.66350710900474
Light vehicles,14717.5,444.9,53.9,,,,9.6,15225.9,2018,96.6609527187227,2.92199475893051,0.354002062275465,,,,0.0630504600713258
Buses,10.5,189.6,0.3,,,25.4,0.2,225.9,2018,4.64807436918991,83.9309428950863,0.132802124833997,,,11.2439132359451,0.0885347498893316
Medium/heavy trucks,638.1,5689.8,21.2,,,,,6349,2018,10.0504016380532,89.6172625610332,0.333910852102693,,,,
Air,26.7,,,2331.5,,,,2358.2,2018,1.1322194894411,,,98.8677805105589,,,
Water,171.4,332.2,,,616.4,,,1120,2018,15.3035714285714,29.6607142857143,,,55.0357142857143,,
Pipeline,,,,,,889.6,83.3,972.9,2018,,,,,,91.437968958783,8.56203104121698
Rail,,535.4,,,,,24.1,559.5,2018,,95.692582663092,,,,,4.30741733690795
Light vehicles,14853.3,445.9,53.9,,,,6.6,15359.8,2017,96.7024310212373,2.9030325915702,0.350916027552442,,,,0.0429693094962174
Buses,9.9,185,0.6,,,24.6,0.2,220.3,2017,4.49387199273718,83.9763958238765,0.272355878347708,,,11.166591012256,0.0907852927825692
Medium/heavy trucks,632,5635.6,21,,,,,6288.6,2017,10.0499316223007,89.6161307763254,0.333937601373915,,,,
Air,22.6,,,2208.2,,,,2230.8,2017,1.01308947462794,,,98.9869105253721,,,
Water,170.4,290.5,,,669.5,,,1130.4,2017,15.0743099787686,25.6988676574664,,,59.226822363765,,
Pipeline,,,,,,743.9,81.1,825,2017,,,,,,90.169696969697,9.83030303030303
Rail,,513.3,,,,,23.6,536.9,2017,,95.6043956043956,,,,,4.3956043956044
Light vehicles,15023.9,443.2,53.4,,,,4.7,15525.3,2016,96.7704327774665,2.85469523938346,0.343954706189252,,,,0.0302731670241477
Buses,8.9,173.4,0.6,,,23.3,0.3,206.5,2016,4.30992736077482,83.9709443099274,0.290556900726392,,,11.2832929782082,0.145278450363196
Medium/heavy trucks,617.3,5504.4,20.5,,,,,6142.1,2016,10.0503085263998,89.6175575129028,0.333762068347959,,,,
Air,22.6,,,2155.5,,,,2178.1,2016,1.03760157935816,,,98.9623984206419,,,
Water,192.2,334,,,627.7,,,1153.9,2016,16.6565560273854,28.9453158852587,,,54.3981280873559,,
Pipeline,,,,,,719.1,80.7,799.8,2016,,,,,,89.9099774943736,10.0900225056264
Rail,,496.5,,,,,23.7,520.2,2016,,95.4440599769319,,,,,4.55594002306805
Light vehicles,14733.1,414.1,49.5,,,,3.4,15200.1,2015,96.9276517917645,2.72432418207775,0.325655752264788,,,,0.0223682738929349
Buses,8.9,170.9,0.7,,,21.9,0.3,202.7,2015,4.39072520966946,84.3117908238777,0.345337937839171,,,10.8041440552541,0.148001973359645
Medium/heavy trucks,601.3,5362.3,20,,,,,5983.6,2015,10.0491343004212,89.6166187579384,0.334246941640484,,,,
Air,22,,,2095.6,,,,2117.7,2015,1.03886291731596,,,98.9564149785144,,,
Water,192.6,388.4,,,464.6,,,1045.6,2015,18.4200459066565,37.1461361897475,,,44.433817903596,,
Pipeline,,,,,,686.9,80.3,767.1,2015,,,,,,89.5450397601356,10.4679963498892
Rail,,538.8,,,,,24,562.8,2015,,95.7356076759062,,,,,4.26439232409382
Light vehicles,15039,422,50.4,,,,3,15514.4,2014,96.9357500128913,2.72005362759759,0.324859485381323,,,,0.0193368741298407
Buses,9.2,174,0.6,,,21.7,0.7,206.1,2014,4.463852498787,84.4250363901019,0.291120815138282,,,10.5288694808345,0.339640950994663
Medium/heavy trucks,605.2,5396.3,20.1,,,,,6021.6,2014,10.0504849209512,89.6157167530224,0.333798326026305,,,,
Air,24.7,,,2038.6,,,,2063.3,2014,1.19711142344787,,,98.8028885765521,,,
Water,193.1,277.6,,,447.3,,,918,2014,21.0348583877996,30.239651416122,,,48.7254901960784,,
Pipeline,,,,,,861.7,251.3,1112.9,2014,,,,,,77.4283403720011,22.5806451612903
Rail,,562.7,,,,,73.7,636.4,2014,,88.4192331866751,,,,,11.580766813325
Light vehicles,14730.7,403.4,47.9,,,,,15182,2013,97.0274008694507,2.65709392701884,0.315505203530497,,,,
Buses,8.9,173.7,0.6,,,20.3,0.7,204.1,2013,4.36060754532092,85.1053405193533,0.293973542381186,,,9.94610485056345,0.34296913277805
Medium/heavy trucks,595.3,5308.7,19.8,,,,,5923.8,2013,10.0492926837503,89.6164624058881,0.334244910361592,,,,
Air,20.9,,,2016.1,,,,2037,2013,1.02601865488463,,,98.9739813451154,,,
Water,193.8,280.8,,,580.4,,,1054.9,2013,18.3714096122855,26.6186368376149,,,55.0194331216229,,
Pipeline,,,,,,888.3,252.5,1140.8,2013,,,,,,77.8664095371669,22.1335904628331
